"file","category","confidence","needs_visual_review","referenced","format","width","height","bytes","references"
"src/assets/NewApp/ImageCard-3.png","illustration or photograph","low","true","true","png","682","916","1202983","src/components/constants/app.ts"
"src/assets/NewApp/ImageCard-4.png","illustration or photograph","low","true","true","png","682","916","799994","src/components/constants/app.ts"
"src/assets/NewApp/ImageCard-5.png","illustration or photograph","low","true","true","png","682","916","1112496","src/components/constants/app.ts"
"src/assets/NewApp/ImageCard-6.png","illustration or photograph","low","true","true","png","682","916","1190129","src/components/constants/app.ts"
"src/assets/NewApp/Line.png","icon","high","false","true","png","1200","1","139","src/components/constants/app.ts; src/components/constants/device.ts"
"src/assets/NewApp/PlayStore.png","logo","high","false","true","png","603","240","43324","src/components/constants/app.ts"
"src/assets/NewApp/Testimonial1.png","photograph","medium","true","true","webp","1402","1122","1273610","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewApp/Testimonial2.png","photograph","medium","true","true","webp","1402","1122","1578846","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewApp/Testimonial3.png","photograph","medium","true","true","png","1448","1086","1969742","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewApp/Testimonial4.png","photograph","medium","true","true","webp","1402","1122","1507782","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewApp/Testimonial5.png","photograph","medium","true","true","webp","572","1024","419034","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewApp/Testimonial6.png","photograph","medium","true","true","png","1475","1066","2160381","src/components/constants/app.ts"
"src/assets/NewApp/check.png","icon","high","false","true","png","59","59","1842","src/components/constants/app.ts"
"src/assets/NewHome/AppImage.png","screenshot","medium","true","true","png","1440","601","1174941","src/components/constants/newHome.ts"
"src/assets/NewHome/Backup.png","icon","medium","true","true","png","36","36","513","src/components/constants/newHome.ts"
"src/assets/NewHome/BathroomKitImage.png","product imagery","medium","true","true","png","4320","1803","4002089","src/components/constants/newHome.ts"
"src/assets/NewHome/HelpImage.png","illustration or photograph","low","true","true","png","1536","879","1944499","src/components/constants/newHome.ts"
"src/assets/NewHome/HelpImageMobile.png","illustration or photograph","low","true","true","png","786","1352","714773","src/components/constants/newHome.ts"
"src/assets/NewHome/HeroMobile.png","illustration or photograph","low","true","true","png","393","163","95491","src/components/constants/newHome.ts"
"src/assets/NewHome/HomeImage.png","illustration or photograph","low","true","true","png","4320","1782","1979697","src/components/constants/newHome.ts; src/layouts/MainLayout.astro"
"src/assets/NewHome/LoudAlarm.png","icon","medium","true","true","png","36","36","804","src/components/constants/device.ts; src/components/constants/newHome.ts"
"src/assets/NewHome/Moment1.png","illustration or photograph","low","true","true","png","379","364","234039","src/components/constants/newHome.ts"
"src/assets/NewHome/Moment2.png","illustration or photograph","low","true","true","png","379","364","235504","src/components/constants/newHome.ts"
"src/assets/NewHome/Moment3.png","illustration or photograph","low","true","true","png","379","364","209841","src/components/constants/newHome.ts"
"src/assets/NewHome/Offline.png","icon","medium","true","true","png","36","36","852","src/components/constants/newHome.ts"
"src/assets/NewHome/StepImage5.png","illustration or photograph","low","true","true","png","1200","509","953123","src/components/constants/newHome.ts"
"src/assets/NewHome/StepImage6.png","illustration or photograph","low","true","true","png","1200","509","637820","src/components/constants/newHome.ts"
"src/assets/NewHome/Testimonial1.png","photograph","medium","true","true","png","100","100","23687","src/components/constants/app.ts; src/components/constants/newHome.ts"
"src/assets/NewHome/Testimonial2.png","photograph","medium","true","true","png","100","100","19347","src/components/constants/app.ts; src/components/constants/newHome.ts"
